nivel_territorial_cod,nivel_territorial_nome,unidade_medida_cod,unidade_medida_nome,valor,geo_cod,geo_nome,variavel_cod,variavel_nome,setor_cod,setor_nome,periodo_trimestral
1,Brasil,1550,Milhões de Reais,12238.88,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90694,Construção,1997Q4
1,Brasil,1550,Milhões de Reais,109099.61,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90696,Serviços - total,1997Q4
1,Brasil,1550,Milhões de Reais,14881.14,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90697,Comércio,1997Q4
1,Brasil,1550,Milhões de Reais,5966.99,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90698,"Transporte, armazenagem e correio",1997Q4
1,Brasil,1550,Milhões de Reais,4264.69,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90699,Informação e comunicação,1997Q4
1,Brasil,1550,Milhões de Reais,16816.82,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90700,"Atividades financeiras, de seguros e serviços relacionados",1997Q4
1,Brasil,1550,Milhões de Reais,16104.1,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90702,Atividades imobiliárias,1997Q4
1,Brasil,1550,Milhões de Reais,24251.27,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90701,Outras atividades de serviços,1997Q4
1,Brasil,1550,Milhões de Reais,26755.08,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90703,"Administração, saúde e educação públicas e seguridade social",1997Q4
1,Brasil,1550,Milhões de Reais,162428.56,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90705,Valor adicionado a preços básicos,1997Q4
1,Brasil,1550,Milhões de Reais,189244.83,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90707,PIB a preços de mercado,1997Q4
1,Brasil,1550,Milhões de Reais,119257.05,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93404,Despesa de consumo das famílias,1997Q4
1,Brasil,1550,Milhões de Reais,36565.85,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93405,Despesa de consumo da administração pública,1997Q4
1,Brasil,1550,Milhões de Reais,39603.39,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93406,Formação bruta de capital fixo,1997Q4
1,Brasil,1550,Milhões de Reais,14608.79,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93407,Exportação de bens e serviços,1997Q4
1,Brasil,1550,Milhões de Reais,19450.58,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93408,Importação de bens e serviços (-),1997Q4
